molecule_chembl_id,canonical_smiles,standard_value
CHEMBL340288,CC(C)C(NC(=O)CN(CC1CCCO1)C(=O)[C@@H](NC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccc(Cl)cc2)cc1)C(C)C)C(=O)C(F)(F)F,30.0
CHEMBL3085439,CC(C)C(NC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccc(Br)cc2)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)C(F)(F)F)C(C)C,38.0
CHEMBL346534,COc1ccc(CCN(CC(=O)NC(C(=O)C(F)(F)F)C(C)C)C(=O)[C@@H](NC(=O)c2ccc(C(=O)NS(=O)(=O)c3ccc(Cl)cc3)cc2)C(C)C)cc1OC,84.0
CHEMBL606670,CC(C)C(NC(=O)[C@H]1CCCN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(=O)C(F)(F)F,172.0
CHEMBL177108,CC(=O)Oc1ccc2c(c1)c1c(=O)oc(=O)[nH]c1n2Cc1ccccn1,292000.0
CHEMBL351784,CCOC(=O)N1CCC(N(CC(=O)NC(C(=O)C(F)(F)F)C(C)C)C(=O)[C@@H](NC(=O)OCc2ccccc2)C(C)C)CC1,507.0
CHEMBL347652,CC(C)C(NC(=O)CNC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(=O)C(F)(F)F,153.0
CHEMBL160417,CC(NC(=O)CN(C(=O)[C@@H](NC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccc(Cl)cc2)cc1)C(C)C)C1Cc2ccccc2C1)C(=O)C(F)(F)F,817.0
CHEMBL160948,CC(C)C(NCCN(C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C1Cc2ccccc2C1)C(=O)C(F)(F)F,5000.0
CHEMBL159116,CC(C)C(NC(=O)CN(Cc1ccccc1)C(=O)[C@@H](NC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccc(Cl)cc2)cc1)C(C)C)C(=O)C(F)(F)F,217.0
CHEMBL160570,CCOC(=O)N1CCC(N(CC(=O)NC(C(=O)C(F)(F)F)C(C)C)C(=O)[C@@H](NC(=O)c2ccc(C(=O)NS(=O)(=O)c3ccc(Cl)cc3)cc2)C(C)C)CC1,57.0
CHEMBL172608,CC(=O)Oc1ccc2c(c1)c1c(=O)oc(=O)[nH]c1n2CCCc1ccccc1,305000.0
CHEMBL158824,CC(C)C(NCCN(C(=O)[C@@H](NC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccc(Cl)cc2)cc1)C(C)C)C1Cc2ccccc2C1)C(=O)C(F)(F)F,5000.0
CHEMBL352244,CC(C)C(NC(=O)CN(C(=O)[C@@H](NC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccc(Cl)cc2)cc1)C(C)C)C1CCCCCCC1)C(=O)C(F)(F)F,67.0
CHEMBL173030,CC(=O)Oc1ccc2c(c1)c1c(=O)oc(=O)[nH]c1n2C1CCCCC1,454000.0
CHEMBL423067,CC(C)C(NC(=O)C1CCCN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(=O)C(F)(F)F,65.0
CHEMBL174276,COc1ccc2c(c1)c1c(=O)oc(=O)[nH]c1n2Cc1ccccc1,1000000.0
CHEMBL556197,CC(C)[C@H]1C(=O)N(S(C)(=O)=O)[C@H]2CN(C(=O)/C=C/CN3CCCCC3)C[C@H]12.Cl,274.0
CHEMBL173369,COC(Cn1c2ccc(OC(C)=O)cc2c2c(=O)oc(=O)[nH]c21)OC,742000.0
CHEMBL158216,CC(C)C(NC(=O)C1Cc2ccccc2CN1C(=O)[C@@H](NC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccc(Cl)cc2)cc1)C(C)C)C(=O)C(F)(F)F,110.0
CHEMBL173720,COc1ccc2c(c1)c1c(=O)oc(=O)[nH]c1n2CCc1ccccc1,1000000.0
CHEMBL264180,CC(C)C(NC(=O)CN(C(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C)C1Cc2ccccc2C1)C(=O)C(F)(F)F,365.0
CHEMBL345616,CC(C)[C@H](NC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccc(Cl)cc2)cc1)C(=O)N(CC(=O)NC(C)(C)C(=O)C(F)(F)F)C1Cc2ccccc2C1,5000.0
CHEMBL422356,CC(C)C(NC(=O)CN(Cc1ccco1)C(=O)[C@@H](NC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccc(Cl)cc2)cc1)C(C)C)C(=O)C(F)(F)F,138.0
CHEMBL3143494,CC(=O)OCC1=C(C(=O)OC(C)(C)C)N2C(=O)[C@@H](C(C)=O)C2S(=O)(=O)C1,107.0
CHEMBL355751,COc1ccc2c(c1)c1c(=O)oc(=O)[nH]c1n2CCCc1ccccc1,989000.0
CHEMBL534687,CC(C)[C@H]1C(=O)N(S(C)(=O)=O)[C@H]2CN(C(=O)/C=C/CN3CCCCC3)CC12.Cl,26.0
CHEMBL346051,CC(C)C(NC(=O)OCc1ccccc1)C(=O)C(F)(F)F,5000.0
CHEMBL345792,CC(C)[C@H](NC(=O)CN(C(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C)C1Cc2ccccc2C1)C(=O)c1ccc(C(F)(F)F)cc1,5000.0
CHEMBL93727,CCC[C@@H](NC(=O)N1C(=O)C(CC)(CC)[C@@H]1Oc1ccc(CC(=O)O)cc1)c1ccc(C)cc1,9000.0
CHEMBL159009,CC(C)C(NC(=O)CN(C)C(=O)[C@@H](NC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccc(Cl)cc2)cc1)C(C)C)C(=O)C(F)(F)F,52.0
CHEMBL174971,COc1ccc2c(c1)c1c(=O)oc(=O)[nH]c1n2CC(OC)OC,1000000.0
CHEMBL558365,CCC[C@H]1C(=O)N(S(C)(=O)=O)[C@H]2CN(C(=O)CCN3CCCCC3)C[C@H]12.Cl,120.0
CHEMBL347458,CC(C)[C@H](NC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccc(Cl)cc2)cc1)C(=O)N(CC(=O)NC(Cc1ccccc1)C(=O)C(F)(F)F)C1Cc2ccccc2C1,5000.0
CHEMBL368146,CCCn1c2ccc(OC(C)=O)cc2c2c(=O)oc(=O)[nH]c21,665000.0
CHEMBL558367,CC(C)[C@@H]1C(=O)N(S(C)(=O)=O)[C@@H]2CN(C(=O)/C=C/CN3CCCCC3)C[C@@H]12.Cl,22.0
CHEMBL160154,CC(C)[C@H](NC(=O)CN(C(=O)[C@@H](NC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccc(Cl)cc2)cc1)C(C)C)C1Cc2ccccc2C1)C(=O)c1ccc(C(F)(F)F)cc1,5100.0
CHEMBL172093,CCCn1c2ccc(OC)cc2c2c(=O)oc(=O)[nH]c21,1000000.0
CHEMBL173421,COCCn1c2ccc(OC(C)=O)cc2c2c(=O)oc(=O)[nH]c21,1000000.0
CHEMBL158735,CC(C)C(NC(=O)CNC(=O)[C@@H](NC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccc(Cl)cc2)cc1)C(C)C)C(=O)C(F)(F)F,73.0
CHEMBL368710,COc1ccc2c(c1)c1c(=O)oc(=O)[nH]c1n2C1CCCCC1,1000000.0
CHEMBL557364,CC(C)[C@H]1C(=O)N(S(C)(=O)=O)[C@H]2CN(C(=O)CCN3CCCCC3)C[C@H]12.Cl,242.0
CHEMBL296771,Cc1ccc(N2C(=O)N(c3ccc(C)cc3)C2=O)cc1,230.0
CHEMBL47394,O=C1N(Cc2ccccc2)C(=O)N1Cc1ccccc1,100.0
CHEMBL298276,CCN1C(=O)N(CC)C1=O,58.0
CHEMBL10756,Cc1cccc2nc(NC(C)C)oc(=O)c12,33.0
CHEMBL65148,Cc1cccc2nc(N[C@H](C)c3ccccc3)oc(=O)c12,92.0
CHEMBL67023,Cc1cccc2nc(N[C@@H](C)c3ccccc3)oc(=O)c12,44.0
CHEMBL3301639,CC[C@H](C)[C@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)C(=O)N[C@H](C(=O)N1C[C@H](OCc2ccccc2)C[C@H]1C(=O)NN(CC)C(=O)N[C@@H](C)c1ccccc1)C(C)C,21000.0
CHEMBL65589,Cc1cccc2nc(N[C@H](C)c3ccc(Br)cc3)oc(=O)c12,20.0
CHEMBL63952,Cc1c(NC(=O)OC(C)(C)C)ccc2nc(N[C@H](C)c3ccccc3)oc(=O)c12,40000.0
CHEMBL3301637,CC[C@H](C)[C@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)C(=O)N[C@H](C(=O)N1C[C@H](OCc2ccccc2)C[C@H]1C(=O)NN(C)C(=O)N[C@@H](C)c1ccccc1)C(C)C,168000.0
CHEMBL3301635,CCCCCN(NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)N[C@@H](C)c1ccccc1,151000.0
CHEMBL499671,CCCN(NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)N[C@@H](C)c1ccccc1,5000.0
CHEMBL294771,Cc1c(N(C)C)ccc2nc(N[C@H](C)c3ccccc3)oc(=O)c12,3200.0
