molecule_chembl_id,canonical_smiles,standard_value
CHEMBL10059,C[C@@H]1CC[C@H]2[C@@H](C)C(CC(=O)CC3OC4O[C@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)C46OO5)OC3O[C@]4(C)CCC1C32OO4,0.91
CHEMBL79942,CO[C@H]1O[C@]2(C)CC[C@H]3CCC[C@@H](CCOC(=O)c4ccc(C(=O)OCCN(C)C)cc4)[C@@]13OO2,0.0033
CHEMBL82863,C[C@@H]1CCC2[C@]3(CO3)C(=O)O[C@@H]3O[C@@]4(C)CCC1[C@@]23OO4,0.096
CHEMBL58510,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12.O=P(O)(O)O.O=P(O)(O)O,180.0
CHEMBL83794,CO[C@H]1O[C@]2(C)CC[C@H]3CCC[C@@H](CCOS(=O)(=O)c4cccc5c(N(C)C)cccc45)[C@@]13OO2,0.0012
CHEMBL84468,COC(=O)c1ccccc1S(=O)(=O)OCC[C@@H]1CCC[C@@H]2CC[C@]3(C)OO[C@@]12[C@@H](OC)O3,0.0132
CHEMBL107943,C[n+]1c2ccccc2cc2[nH]c3ccc(Br)cc3c21.[I-],260.0
CHEMBL111647,C[n+]1c2ccccc2cc2[n-]c3ccc([N+](=O)[O-])cc3c21,650.0
CHEMBL10183,C[C@@H]1CC[C@H]2[C@@H](C)C(CC3(CC4OC5O[C@]6(C)CC[C@H]7[C@H](C)CC[C@@H]([C@H]4C)C57OO6)CO3)OC3O[C@]4(C)CCC1C32OO4,2.8
CHEMBL325991,C[n+]1c2ccc(Br)cc2cc2[nH]c3ccccc3c21.[I-],260.0
CHEMBL109192,C[n+]1c2ccccc2c(Cl)c2[nH]c3ccc(Cl)cc3c21.[I-],7620.0
CHEMBL82326,C=CCOCC[C@@H]1CCC[C@@H]2CC[C@]3(C)OO[C@@]12[C@@H](OC)O3,0.0006
CHEMBL80076,CO[C@H]1O[C@]2(C)CC[C@H]3CCC[C@@H](CCOC(=O)N(C)C)[C@@]13OO2,0.0008
CHEMBL81702,CO[C@H]1O[C@]2(C)CC[C@H]3CCC[C@@H](CCOC(=O)CNC(=O)OC(C)(C)C)[C@@]13OO2,0.0025
CHEMBL315907,CSC1=NN=C2C3CC[C@@H](C)C4CC[C@@]5(C)OO[C@@]34[C@H](OC2(O)S1)O5,0.789
CHEMBL107615,CC(=O)Nc1ccc2[n-]c3cc4ccccc4[n+](C)c3c2c1,520.0
CHEMBL430873,C[n+]1c2ccc(Br)cc2c(Cl)c2[nH]c3ccccc3c21.[I-],4750.0
CHEMBL526138,C=C1C(=O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,0.0053
CHEMBL315942,C[C@@H]1CCC2[C@@]3(CO3)[C@@H](OO)O[C@@H]3O[C@@]4(C)CCC1[C@@]23OO4,0.002
CHEMBL84611,C[C@@H]1CCC2[C@@]3(CO3)C(O)O[C@@H]3O[C@@]4(C)CCC1[C@@]23OO4,0.0018
CHEMBL443532,COCC[C@@H]1CCC[C@@H]2CC[C@]3(C)OO[C@@]12[C@@H](OC)O3,0.0037
CHEMBL86254,C=C1C2CC[C@@H](C)C3CC[C@@]4(C)OO[C@@]23[C@H](O[C@@H]1O)O4,0.119
CHEMBL315323,C[C@@H]1CCC2[C@](Br)(CBr)C(=O)O[C@@H]3O[C@@]4(C)CCC1[C@@]23OO4,0.077
CHEMBL108309,O=C(O)c1c2nc3ccccc3c-2[nH]c2ccccc12,100000.0
CHEMBL108661,C[n+]1c2ccccc2c(Cl)c2[nH]c3cc(Cl)ccc3c21.[I-],27000.0
